pressed,y,vel,dist,mid1,mid2
0,297.15,-4.80,348.00,440.33,300.00
0,252.95,-2.20,322.00,440.33,300.00
0,241.95,0.00,300.00,440.33,300.00
0,257.55,2.40,276.00,440.33,300.00
0,301.95,4.80,252.00,440.33,300.00
1,375.15,7.20,228.00,440.33,300.00
0,486.95,-5.00,202.00,440.33,300.00
0,445.15,-2.80,180.00,440.33,300.00
0,427.15,-0.40,156.00,440.33,300.00
0,435.95,1.80,134.00,440.33,300.00
1,473.15,4.20,110.00,440.33,300.00
0,467.75,-3.60,86.00,440.33,287.06
0,440.15,-1.20,62.00,440.33,287.06
0,441.35,1.20,38.00,440.33,287.06
1,471.35,3.60,14.00,440.33,287.06
0,447.35,-3.20,-10.00,440.33,287.06
0,424.55,-0.80,-34.00,440.33,287.06
1,430.55,1.60,-58.00,440.33,287.06
0,412.15,-3.60,166.00,287.06,300.00
0,384.55,-1.20,142.00,287.06,300.00
1,385.75,1.20,118.00,287.06,300.00
0,354.55,-3.20,94.00,287.06,153.39
1,331.75,-0.80,70.00,287.06,153.39
0,331.35,-4.80,46.00,287.06,153.39
0,289.35,-2.40,22.00,287.06,153.39
1,276.15,0.00,-2.00,287.06,153.39
0,241.35,-3.20,-26.00,287.06,153.39
0,218.55,-0.80,-50.00,287.06,153.39
0,224.55,1.60,176.00,153.39,300.00
1,259.35,4.00,152.00,153.39,300.00
0,236.55,-3.20,128.00,153.39,300.00
1,213.75,-0.80,104.00,153.39,300.00
0,201.75,-4.40,80.00,153.39,370.27
0,164.55,-2.00,56.00,153.39,370.27
0,156.15,0.40,32.00,153.39,370.27
1,176.55,2.80,8.00,153.39,370.27
0,156.95,-3.40,-16.00,153.39,370.27
0,131.75,-1.00,-40.00,153.39,370.27
0,135.35,1.40,186.00,370.27,300.00
0,167.75,3.80,162.00,370.27,300.00
0,228.95,6.20,138.00,370.27,300.00
1,318.95,8.60,114.00,370.27,300.00
0,437.75,-5.00,90.00,370.27,175.55
0,393.35,-2.60,66.00,370.27,175.55
0,377.75,-0.20,42.00,370.27,175.55
1,390.95,2.20,18.00,370.27,175.55
0,375.55,-3.60,-6.00,370.27,175.55
1,347.95,-1.20,-30.00,370.27,175.55
0,343.15,-4.80,-54.00,370.27,175.55
0,301.15,-2.40,172.00,175.55,300.00
1,287.95,0.00,148.00,175.55,300.00
0,246.35,-2.80,124.00,175.55,300.00
0,228.35,-0.40,100.00,175.55,300.00
1,239.15,2.00,76.00,175.55,313.55
0,204.75,-3.00,52.00,175.55,313.55
0,184.35,-0.60,28.00,175.55,313.55
1,192.75,1.80,4.00,175.55,313.55
0,220.95,-4.80,-20.00,175.55,313.55
0,178.95,-2.40,-44.00,175.55,313.55
0,165.75,0.00,182.00,313.55,300.00
0,181.35,2.40,158.00,313.55,300.00
0,225.75,4.80,134.00,313.55,300.00
1,298.95,7.20,110.00,313.55,300.00
0,332.95,-4.00,86.00,313.55,427.18
0,300.55,-1.60,62.00,313.55,427.18
0,296.95,0.80,38.00,313.55,427.18
1,318.95,3.00,16.00,313.55,427.18
0,280.35,-2.80,-8.00,313.55,427.18
0,262.35,-0.40,-32.00,313.55,427.18
0,273.15,2.00,-56.00,313.55,427.18
0,312.75,4.40,170.00,427.18,300.00
1,381.15,6.80,146.00,427.18,300.00
0,478.35,-5.00,122.00,427.18,300.00
0,433.95,-2.60,98.00,427.18,158.32
0,418.55,-0.40,76.00,427.18,158.32
1,429.35,2.00,52.00,427.18,158.32
0,459.75,-4.80,28.00,427.18,158.32
0,415.55,-2.20,2.00,427.18,158.32
0,404.55,0.00,-20.00,427.18,158.32
1,420.15,2.40,-44.00,427.18,158.32
0,464.55,-5.00,182.00,158.32,300.00
0,417.75,-2.40,156.00,158.32,300.00
1,404.55,-0.20,134.00,158.32,300.00
0,373.75,-3.40,108.00,158.32,300.00
1,349.55,-1.20,86.00,158.32,248.17
1,306.75,-2.80,62.00,158.32,248.17
0,296.44,-4.80,348.00,320.52,300.00
0,252.24,-2.20,322.00,320.52,300.00
0,241.24,0.00,300.00,320.52,300.00
0,256.84,2.40,276.00,320.52,300.00
1,301.24,4.80,252.00,320.52,300.00
0,350.84,-4.60,228.00,320.52,300.00
0,309.24,-2.00,202.00,320.52,300.00
0,300.44,0.20,180.00,320.52,300.00
0,318.44,2.60,156.00,320.52,300.00
1,365.24,5.00,132.00,320.52,300.00
0,363.84,-3.60,108.00,320.52,300.00
0,336.24,-1.20,84.00,320.52,423.08
1,337.44,1.20,60.00,320.52,423.08
0,317.04,-3.60,36.00,320.52,423.08
0,289.44,-1.20,12.00,320.52,423.08
0,290.64,1.20,-12.00,320.52,423.08
1,320.64,3.60,-36.00,320.52,423.08
